id_country,country
0,AE
1,AF
2,AL
3,AO
4,AR
5,AT
6,AU
7,BD
8,BE
9,BF
10,BG
11,BR
12,BT
13,BY
14,CA
15,CD
16,CH
17,CL
18,CM
19,CN
20,CO
21,CU
22,CY
23,CZ
24,DE
25,DK
26,DO
27,DZ
28,EE
29,EG
30,ES
31,ET
32,FI
33,FO
34,FR
35,GB
36,GE
37,GH
38,GL
39,GR
40,GT
41,HK
42,HU
43,ID
44,IE
45,IL
46,IN
47,IO
48,IQ
49,IR
50,IS
51,IT
52,JO
53,JP
54,KE
55,KG
56,KH
57,KN
58,KR
59,KW
60,LB
61,LK
62,LU
63,MA
64,MC
65,MU
66,MW
67,MX
68,MY
69,NG
70,NL
71,NO
72,NP
73,NZ
74,PA
75,PE
76,PH
77,PK
78,PL
79,PR
80,PS
81,PT
82,PY
83,QA
84,RO
85,RS
86,RU
87,RW
88,SA
89,SE
90,SG
91,SN
92,SU
93,SY
94,TH
95,TN
96,TR
97,TW
98,TZ
99,UA
100,US
101,UY
102,VA
103,VE
104,VN
105,ZA
106,ZW
