id,id_country
ts300399,100
tm82169,100
tm17823,100
tm191099,100
tm69975,100
tm127384,35
tm17249,100
ts22164,35
tm70993,35
tm16479,100
tm91699,100
tm12775,100
tm135083,29
tm69997,100
tm16812,46
tm75975,46
tm156453,100
ts45948,35
tm89386,24
tm71909,46
tm100027,46
tm100027,92
tm107372,46
tm10204,46
tm336403,46
tm27298,29
tm123318,100
tm204541,29
tm19608,29
tm90896,29
tm90896,27
tm14350,29
tm14350,27
tm123613,46
tm81728,29
tm321219,46
tm259684,14
tm259684,34
tm259684,60
tm344089,46
ts20681,100
tm1217553,100
tm140433,100
tm131198,100
tm120386,100
tm120386,35
tm48779,100
tm125473,100
tm2244,100
tm155460,100
tm40803,100
tm13,100
tm144353,100
ts21715,35
tm119312,100
tm117580,100
tm24110,100
ts2760,35
tm157853,100
tm127515,100
tm133914,35
tm52274,60
tm52274,34
tm49037,53
tm62924,35
ts987,35
tm147829,100
tm125985,53
tm40103,53
tm159912,46
tm126769,4
tm114356,100
tm137013,100
tm52815,46
tm94651,46
tm446654,46
tm172482,46
tm157603,46
tm411457,46
tm371359,46
tm342996,46
tm348735,46
tm55091,100
tm311264,46
tm151332,29
tm151332,34
tm258072,100
tm51083,100
tm419052,46
tm38736,100
tm47673,29
ts20981,100
ts20339,53
ts21223,53
tm185123,100
tm122434,100
tm123099,100
ts21567,100
ts34435,53
tm60722,100
ts20983,53
tm107165,100
tm39130,100
tm39130,35
ts21321,100
ts20960,100
tm53991,100
tm11556,53
tm11556,100
ts6236,100
tm191374,100
ts22193,100
ts22193,14
ts21034,53
tm12172,100
tm191772,35
tm191772,100
ts25252,53
tm53805,100
tm46173,100
tm46410,100
tm190835,53
ts11397,100
tm6859,100
ts27693,100
tm255589,
ts21581,100
ts22039,34
tm64817,100
tm63514,100
tm56033,44
tm56033,35
tm56033,24
tm56033,34
tm10811,100
ts16919,100
tm110217,100
ts21684,6
tm1280414,53
ts25249,6
tm55369,100
ts22286,53
ts28516,4
tm188606,31
tm188606,24
tm188606,37
tm188606,35
tm188606,100
tm188606,9
tm113234,41
ts20918,100
ts20939,100
ts21693,100
tm34391,35
tm189773,46
tm55100,46
tm41525,67
tm113275,19
tm113275,41
tm37642,24
tm37642,100
tm184502,46
tm12876,46
tm27601,46
tm105716,46
tm29212,100
tm117873,46
tm189171,30
tm189171,4
tm67635,46
tm118256,46
ts8570,100
tm44776,29
tm44776,34
tm128925,46
tm62176,46
tm110766,24
tm110766,80
tm110766,100
tm110766,34
tm8859,46
ts251477,53
ts224786,20
tm58893,46
tm9898,46
tm62385,46
tm12482,46
tm118438,46
tm110225,46
tm191614,29
tm191614,34
tm110160,46
tm42397,46
tm184224,100
tm184326,46
tm57169,35
tm57169,100
tm47530,46
tm52083,60
tm52083,8
tm52083,34
tm52083,71
tm256669,46
tm449775,92
tm449775,46
tm7032,51
tm7032,60
tm7032,8
tm7032,34
tm210754,96
tm334788,46
tm192301,46
tm314602,46
tm203186,60
tm64729,100
tm117840,29
tm117840,34
tm424630,100
tm204173,46
tm1096916,34
tm326102,46
tm7810,100
tm104933,100
ts4,100
ts9,100
ts21469,100
ts17156,100
ts8308,100
ts22337,100
ts3371,100
ts21465,100
ts20371,35
tm44313,73
tm44313,100
ts288536,35
ts20604,100
ts20573,35
tm113842,100
tm100029,35
tm100029,14
tm100029,100
tm100029,53
tm56184,35
tm56184,100
ts5716,100
ts22011,14
ts11313,53
ts31787,53
tm137072,100
tm137072,24
ts20305,53
tm115982,73
tm115982,100
tm142381,73
tm142381,100
ts34569,53
tm169295,14
tm169295,100
ts17942,100
tm74402,100
ts327,100
tm105329,100
tm97441,100
ts31263,100
tm20959,100
ts15349,100
ts12787,53
ts20640,100
ts21511,14
ts21511,100
tm88738,35
tm88738,100
tm86637,100
tm86637,14
tm86637,24
ts29186,100
tm92619,100
ts6644,25
ts21544,100
ts22018,100
tm181571,100
tm174703,100
tm30205,19
tm30205,41
ts22456,100
tm90305,100
tm35112,100
tm133732,24
tm133732,42
tm133732,35
tm133732,100
ts27541,100
tm138894,100
tm155309,100
tm137342,100
ts31820,100
tm88027,100
ts19036,100
ts23752,53
ts26091,34
tm109300,34
tm109300,24
tm109300,35
tm109300,14
ts38488,20
tm151176,100
tm151176,23
ts30311,100
tm44491,35
tm44491,100
ts22267,14
tm149432,100
tm27268,100
tm178788,24
tm178788,73
tm178788,100
ts22005,14
ts32186,53
ts32186,100
tm54010,100
ts22318,51
tm40009,100
ts21464,100
tm79939,100
tm109495,100
ts52881,53
tm97428,44
tm97428,100
tm115660,100
tm132647,100
tm31857,100
tm31857,23
tm142564,46
tm40148,100
tm94422,35
tm94422,100
tm94422,14
tm96208,100
tm96208,14
tm96208,24
tm47321,100
tm185635,67
tm185635,100
ts1413,97
ts24028,35
ts21740,53
tm94430,67
tm169128,100
ts21688,58
tm30170,46
ts26322,53
ts20544,53
tm32885,46
tm186461,35
tm186461,100
tm186461,53
tm82836,100
tm31187,35
tm31187,100
tm82765,46
tm82765,100
ts14102,14
tm56428,14
tm137919,100
tm134407,46
ts178360,20
tm59880,100
ts12701,34
ts20526,100
ts21664,100
tm132321,100
tm95493,30
tm95493,35
tm95493,100
tm97072,100
ts34414,20
ts21706,6
ts74928,34
ts12444,97
tm30112,46
tm28366,46
tm130647,100
tm130647,34
tm130647,14
ts1464,20
tm141070,100
tm141070,35
tm133797,100
ts27459,19
ts911,100
tm104880,100
tm95238,100
tm95238,14
tm152406,100
tm164557,53
tm164557,41
ts20535,100
tm44634,100
tm89039,67
ts20358,100
ts12815,100
ts21421,30
ts21421,35
tm464888,46
tm150521,41
ts23797,97
ts67595,20
tm78767,100
tm22989,100
tm22540,46
tm22636,14
tm114504,46
tm456581,100
tm36991,100
tm36991,24
tm36991,35
tm156575,46
ts23835,86
tm368679,46
tm72587,46
tm31335,46
tm134235,53
tm237621,69
tm76835,46
tm39557,46
tm340006,53
ts20398,6
ts3666,53
tm96052,4
ts21967,14
ts21967,100
tm21155,60
tm21155,34
tm155761,46
tm91046,29
tm27598,100
tm36475,46
tm83786,46
tm137484,100
tm137484,41
tm137484,53
tm44530,46
tm144345,46
ts1893,35
ts98353,100
ts30356,35
tm27480,100
tm80455,46
tm418157,
tm53999,100
tm138497,14
tm92977,46
tm139349,100
ts17028,53
tm142408,100
tm92671,41
tm91125,46
tm91176,100
tm91176,69
tm112381,100
tm68191,24
tm101609,46
tm29028,80
tm29028,8
tm29028,34
tm29028,30
tm29028,16
tm145243,46
tm130811,35
tm130811,100
tm31274,35
tm31274,100
tm43399,46
tm29555,100
tm168869,6
tm82718,96
tm145436,100
tm164389,46
tm57220,46
tm177687,53
ts38159,34
tm23441,46
tm147686,100
ts56589,58
tm141117,46
tm82763,100
tm54147,46
tm54147,100
tm146099,100
tm103095,19
tm103095,41
tm24576,53
ts31593,58
tm71558,67
tm73058,46
ts21695,58
tm29269,46
tm34924,19
tm34924,41
tm61056,46
tm37945,46
tm91323,46
tm129971,46
ts18653,46
tm36164,53
tm147494,53
tm84775,100
tm99060,41
tm99060,19
tm88366,46
tm33981,14
tm140653,41
tm101684,96
ts63295,4
ts63295,30
tm80339,53
ts44053,19
ts4866,97
tm96595,46
tm170169,46
tm52352,100
tm175687,100
tm181366,60
tm49405,53
tm89764,53
tm89936,58
tm22342,100
tm62369,19
tm62369,41
tm103133,46
tm75544,46
ts70843,97
tm102848,46
tm77348,46
ts29199,100
ts29199,35
tm135795,34
tm135795,60
tm87672,68
tm138902,53
tm105278,53
tm81864,41
tm149209,46
tm95434,41
tm30289,100
tm38454,100
tm76029,34
tm76029,60
tm76029,35
tm155774,24
tm155774,59
tm155774,80
tm155774,34
tm85549,29
tm76399,76
tm80059,53
tm96037,53
ts42914,34
tm65142,53
tm34524,53
ts72322,20
tm173826,34
tm173826,35
ts74931,100
tm70222,46
tm83175,46
tm104349,58
ts44663,34
tm25029,97
ts121176,100
tm51493,96
tm29731,46
tm111226,46
tm103732,46
tm112235,46
tm91005,105
tm91005,87
tm91005,35
tm146887,46
tm77863,46
ts23808,100
tm129763,46
tm98475,46
tm110923,63
tm110923,24
tm110923,80
tm110923,34
ts39604,97
tm598375,46
tm85243,14
tm22558,68
tm33729,46
tm93004,46
tm134140,46
tm334293,29
tm97982,46
tm166247,46
tm171813,100
tm152413,68
tm25842,100
tm334461,29
tm364670,29
tm85563,100
tm85563,5
