id,id_genre
ts300399,4
tm82169,5
tm82169,15
tm17823,13
tm17823,2
tm191099,3
tm191099,5
tm191099,2
tm191099,11
tm69975,5
tm69975,15
tm127384,8
tm127384,2
tm17249,2
ts22164,2
ts22164,6
tm70993,2
tm16479,2
tm16479,11
tm16479,13
tm91699,5
tm91699,2
tm91699,13
tm12775,5
tm12775,16
tm135083,5
tm135083,2
tm135083,3
tm69997,2
tm69997,4
tm16812,5
tm16812,13
tm16812,0
tm75975,13
tm156453,2
tm156453,4
tm156453,11
ts45948,2
tm89386,4
tm89386,9
tm89386,6
tm71909,8
tm100027,5
tm100027,0
tm100027,13
tm100027,8
tm100027,7
tm107372,13
tm107372,2
tm107372,5
tm10204,5
tm10204,2
tm10204,13
tm336403,3
tm336403,5
tm336403,16
tm27298,5
tm27298,9
tm27298,13
tm27298,17
tm27298,0
tm123318,5
tm123318,13
tm204541,5
tm204541,13
tm204541,16
tm19608,5
tm19608,3
tm19608,13
tm90896,5
tm90896,3
tm14350,5
tm123613,16
tm123613,0
tm81728,5
tm321219,0
tm321219,16
tm321219,5
tm259684,4
tm344089,5
ts20681,2
tm1217553,5
tm1217553,0
tm140433,0
tm140433,16
tm131198,5
tm131198,15
tm120386,8
tm120386,7
tm120386,6
tm48779,5
tm48779,15
tm125473,2
tm125473,3
tm125473,16
tm2244,16
tm2244,2
tm155460,5
tm155460,15
tm40803,2
tm40803,3
tm13,5
tm13,13
tm144353,2
tm144353,5
ts21715,1
ts21715,7
ts21715,8
ts21715,11
ts21715,5
ts21715,2
ts21715,0
ts21715,17
tm119312,2
tm119312,13
tm119312,3
tm117580,2
tm117580,13
tm24110,5
ts2760,2
ts2760,1
ts2760,7
ts2760,3
ts2760,6
tm157853,5
tm157853,3
tm127515,13
tm127515,2
tm127515,5
tm133914,2
tm52274,5
tm52274,17
tm52274,6
tm49037,1
tm49037,0
tm49037,5
tm49037,14
tm49037,17
tm62924,2
tm62924,4
ts987,1
ts987,2
ts987,7
ts987,14
ts987,0
ts987,6
tm147829,5
tm125985,1
tm125985,0
tm125985,5
tm125985,14
tm125985,17
tm40103,1
tm40103,0
tm40103,5
tm40103,14
tm40103,17
tm159912,5
tm159912,3
tm159912,0
tm126769,2
tm114356,5
tm137013,5
tm52815,5
tm52815,13
tm94651,5
tm94651,2
tm94651,13
tm94651,0
tm94651,3
tm446654,5
tm446654,0
tm446654,3
tm172482,5
tm172482,13
tm172482,0
tm157603,5
tm157603,2
tm157603,13
tm411457,0
tm411457,5
tm371359,0
tm371359,5
tm371359,16
tm342996,0
tm342996,5
tm348735,3
tm348735,0
tm348735,16
tm55091,5
tm311264,2
tm311264,5
tm311264,7
tm311264,0
tm151332,5
tm258072,3
tm258072,5
tm51083,5
tm51083,16
tm51083,3
tm419052,7
tm419052,13
tm38736,5
tm38736,17
tm47673,5
tm47673,8
ts20981,12
ts20339,0
ts20339,2
ts20339,1
ts20339,14
ts20339,8
ts20339,5
ts21223,14
ts21223,0
ts21223,1
ts21223,2
ts21223,8
ts21223,7
tm185123,2
tm185123,5
tm185123,13
tm122434,2
tm122434,5
tm122434,13
tm123099,16
tm123099,3
tm123099,5
ts21567,2
ts21567,5
ts34435,14
ts34435,18
ts34435,0
ts34435,16
ts34435,1
ts34435,2
ts34435,5
tm60722,14
tm60722,2
ts20983,14
ts20983,1
ts20983,0
ts20983,8
ts20983,16
ts20983,5
tm107165,5
tm107165,13
tm107165,15
tm107165,2
tm39130,13
tm39130,2
tm39130,5
ts21321,12
ts21321,2
ts21321,1
ts21321,4
ts21321,5
ts20960,0
ts20960,14
ts20960,7
ts20960,8
ts20960,1
tm53991,2
tm53991,5
tm53991,6
tm11556,18
tm11556,16
tm11556,0
tm11556,13
ts6236,12
tm191374,10
tm191374,16
ts22193,1
ts22193,2
ts22193,7
ts22193,8
ts22193,14
ts21034,1
ts21034,0
ts21034,2
ts21034,5
ts21034,8
ts21034,13
ts21034,14
tm12172,2
tm12172,5
tm12172,13
tm191772,5
tm191772,17
tm191772,9
ts25252,14
ts25252,0
ts25252,7
ts25252,8
ts25252,1
ts25252,2
ts25252,5
tm53805,5
tm53805,2
tm46173,0
tm46173,2
tm46173,13
tm46173,16
tm46173,18
tm46410,2
tm46410,3
tm46410,5
tm190835,5
tm190835,1
tm190835,0
tm190835,14
tm190835,8
ts11397,14
ts11397,0
ts11397,2
ts11397,18
ts11397,7
ts11397,1
ts11397,8
tm6859,5
tm6859,2
tm6859,7
tm6859,13
tm6859,6
ts27693,7
ts27693,2
tm255589,
ts21581,5
ts21581,2
ts22039,2
tm64817,2
tm64817,4
tm63514,5
tm63514,4
tm63514,17
tm56033,16
tm56033,5
tm56033,6
tm56033,3
tm10811,5
tm10811,13
ts16919,2
ts16919,7
ts16919,11
tm110217,13
tm110217,2
tm110217,14
ts21684,5
ts21684,13
tm1280414,1
tm1280414,14
tm1280414,0
tm1280414,5
ts25249,7
ts25249,8
ts25249,11
ts25249,2
ts25249,6
tm55369,13
tm55369,2
tm55369,5
ts22286,14
ts22286,0
ts22286,2
ts22286,5
ts22286,7
ts22286,8
ts22286,13
ts22286,1
ts28516,5
ts28516,3
tm188606,5
tm188606,6
tm113234,0
tm113234,2
tm113234,8
tm113234,5
tm113234,13
ts20918,2
ts20939,5
ts20939,7
ts20939,2
ts21693,2
ts21693,5
ts21693,7
tm34391,2
tm34391,4
tm189773,5
tm189773,13
tm55100,5
tm55100,13
tm41525,2
tm41525,3
tm41525,5
tm113275,0
tm113275,8
tm113275,2
tm113275,13
tm37642,2
tm37642,3
tm37642,16
tm37642,0
tm184502,13
tm184502,5
tm184502,2
tm184502,11
tm12876,5
tm12876,13
tm27601,2
tm27601,5
tm27601,13
tm105716,5
tm105716,13
tm29212,13
tm29212,14
tm29212,2
tm117873,5
tm117873,2
tm117873,13
tm189171,5
tm189171,11
tm189171,13
tm67635,5
tm67635,13
tm67635,2
tm118256,3
tm118256,0
tm118256,5
ts8570,2
ts8570,7
tm44776,5
tm44776,13
tm44776,6
tm128925,2
tm128925,5
tm128925,8
tm128925,3
tm62176,5
tm62176,13
tm110766,5
tm8859,2
ts251477,12
ts224786,5
tm58893,2
tm58893,0
tm58893,3
tm58893,13
tm58893,16
tm9898,2
tm9898,5
tm9898,13
tm9898,0
tm62385,13
tm62385,7
tm62385,5
tm12482,3
tm12482,0
tm12482,5
tm12482,13
tm118438,5
tm118438,16
tm118438,13
tm118438,3
tm110225,13
tm110225,2
tm110225,5
tm191614,5
tm191614,9
tm191614,13
tm191614,2
tm110160,5
tm110160,2
tm42397,13
tm42397,2
tm42397,0
tm42397,8
tm184224,2
tm184224,4
tm184326,5
tm184326,3
tm57169,2
tm57169,4
tm47530,2
tm47530,5
tm47530,13
tm52083,2
tm52083,5
tm52083,13
tm52083,17
tm52083,6
tm256669,3
tm256669,5
tm256669,16
tm256669,0
tm449775,5
tm449775,0
tm7032,5
tm7032,3
tm7032,17
tm7032,6
tm210754,2
tm210754,5
tm334788,5
tm334788,0
tm192301,2
tm192301,5
tm192301,13
tm314602,0
tm314602,13
tm314602,5
tm203186,4
tm203186,9
tm64729,2
tm64729,4
tm117840,5
tm424630,5
tm424630,15
tm204173,13
tm204173,2
tm204173,5
tm1096916,4
tm326102,5
tm326102,7
tm326102,11
tm7810,5
tm7810,3
tm7810,16
tm104933,2
tm104933,4
ts4,5
ts4,2
ts4,3
ts4,16
ts9,0
ts9,5
ts9,10
ts9,16
ts21469,5
ts21469,13
ts17156,2
ts8308,2
ts22337,16
ts22337,2
ts22337,0
ts22337,3
ts22337,5
ts3371,1
ts3371,0
ts3371,7
ts3371,8
ts21465,5
ts21465,14
ts21465,16
ts21465,8
ts21465,10
ts20371,2
ts20371,12
ts20371,6
ts20371,11
tm44313,8
tm44313,0
tm44313,5
ts288536,12
ts288536,6
ts20604,5
